"dress_leisure","dress_work","fit_top","fit_bottom","highlight","cover","body_shape","eyes","hair","size_top","size_bottom","size_footwear","size_bra","size_cup","height","weight","focus","adventurous","styles","prices","avoid","footwear","footwear_priority","footwear_families","job","birthdate","is_mother"
1,3,2,3,1,2,6,4,2,4,4,3,4,"B",165,65,"5,2",3,"2,4",2,2,3,6,1,5,1971-06-18,"true"
1,3,3,2,,4,2,3,5,5,5,2,4,"B","157.48","65.83",3,1,"1,3",1,,1,1,5,4,1976-12-07,"true"
1,2,2,2,,,6,5,2,4,4,3,3,"F","139.7","51.76",3,3,"6,5",2,"5,7,8",4,6,"1,4",5,1960-11-24,"true"
1,1,3,1,,"2,3,5",2,1,2,7,7,2,4,"FF","162.56","97.61","2,5",1,"5,6",1,,1,1,5,2,1978-08-17,"true"
2,1,2,3,1,"3,4,5",2,1,6,5,6,6,4,"B",169,100,"2,4,3",3,3,1,"1,8",2,1,5,4,1991-01-04,"false"
1,1,1,1,,"3,4",4,5,6,3,3,4,4,"B",159,58,3,3,"1,5",1,"5,9,7",,,,4,1983-08-11,"true"
1,1,3,1,,,5,3,2,2,3,3,4,"B",153,58,3,1,1,1,,2,6,1,14,1989-12-04,"true"
4,3,1,2,"4,1",,5,1,3,3,4,5,6,"D",175,75,"4,2",3,"4,6",2,"9,7,6",,,,4,1985-02-23,"false"
1,2,3,2,,,2,1,3,5,7,4,7,"D",155,94,"3,5",3,"6,1",2,"9,7",,,,7,1990-06-14,"false"
2,2,1,2,5,,3,4,4,5,5,4,7,"E",161,75,3,2,"5,1",1,7,1,1,5,4,1982-02-09,"true"
4,3,3,3,"1,4",,5,5,3,6,8,5,6,"E",162,97,"5,4,2",3,"2,3",1,"7,8",3,"4,1",3,4,1988-04-12,"true"
2,2,3,3,,"4,5,1",2,3,3,7,7,4,8,"D",163,94,"4,5",3,"5,6",1,,"1,3","4,1,10,6","1,4",6,1984-03-22,"true"
2,1,3,2,,4,2,5,2,4,5,4,3,"A",160,80,"2,4",2,"6,2",1,"8,7,5,2",1,"6,4,1,10",5,13,1992-08-29,"false"
1,2,2,2,1,"2,4",2,3,3,5,5,4,5,"DD","160.02","72.64","3,4",1,"1,2",1,"7,8,9",,,,2,1962-01-23,"true"
3,3,1,2,,2,5,1,2,6,6,4,6,"C",170,80,"5,3,1",2,2,2,"8,9,7,5",,,,5,1967-07-02,"true"
2,3,2,1,,,4,4,5,2,3,2,3,"A",158,57,"3,5",3,"3,5",2,,3,6,,5,1981-03-06,"true"
3,4,3,2,,,6,3,3,6,7,6,7,"D",171,85,"3,5,4",5,"3,6",1,8,3,"6,4,1,10,3",5,14,1978-03-15,"true"
1,4,3,2,1,4,2,5,6,8,8,6,9,"F",156,120,"5,4",1,"2,3",1,8,3,"1,10",,14,1974-09-29,"true"
2,1,2,1,"4,5",2,1,4,4,5,4,5,5,"C",168,89,5,5,"5,1",2,5,"2,3,1","4,6,1,10","1,2,5,4,6",14,1991-01-06,"false"
1,1,3,2,"1,3","2,4",2,1,1,6,6,5,5,"C",170,85,"3,5,4",2,"1,4",2,"2,5",1,4,"5,3,2",13,1967-05-10,"true"
2,3,1,1,4,,4,1,6,2,2,0,2,"B",150,40,"3,5",2,1,1,"1,5","1,3","4,1,10",5,13,1982-03-12,"true"
2,3,2,2,,"4,5",4,3,6,4,4,3,7,"D",171,60,"5,1",3,"5,3",2,5,1,1,5,12,1981-12-18,"true"
2,2,2,1,2,4,5,5,2,4,4,3,2,"FF","154.94","64.92","4,5",3,"6,2",1,,"3,2,1","1,4,6",,13,1976-02-17,"true"
2,3,1,1,5,4,4,5,3,3,2,5,2,"DD","177.8","61.74","4,3",1,"4,5",2,,3,6,4,14,1966-07-11,"true"
3,3,1,1,"1,2,5",4,1,3,6,3,3,3,4,"D",165,58,5,4,"1,5",1,8,"3,2","1,6,10,4,3",6,3,1972-07-26,"false"
1,4,3,1,5,"2,4",2,4,3,7,6,6,5,"FF","170.18","87.62","1,3,4",1,4,3,8,3,1,6,13,1965-11-23,"false"
1,3,3,1,"1,3","2,4",3,5,4,4,3,4,4,"DD","157.48","69.92","2,3",4,"5,6",1,,3,1,,14,1986-08-31,"true"
1,2,1,3,"3,4,5",2,3,3,6,5,4,2,3,"DD","170.18","75.82","1,5,4",1,"1,5",1,"7,9,8",,,,2,1986-03-11,"true"
2,1,2,1,"3,4,5",,5,2,2,1,1,4,1,,164,"45.5","2,4,3",4,3,1,2,3,"6,1,10,4",,10,2004-09-17,"false"
3,3,2,2,,"5,1,3",4,4,2,3,4,3,3,"C",170,60,"5,3,1",3,"6,4",2,"1,5,8,9",,,,5,1988-04-19,"false"
1,2,2,1,"1,2,3,5",,6,5,2,2,3,3,3,"B",170,59,"1,5,3",2,"3,1",1,"8,6,9",,,,2,1991-03-25,"true"
1,1,3,2,"1,4","3,5",1,3,4,4,6,1,4,"B",165,78,"4,2,5",5,"6,5",1,"1,5,7,9",,,,11,1992-01-09,"false"
1,4,3,1,,,3,4,3,5,6,4,4,"F","170.18","69.92","3,1,5",3,"6,1",1,"1,5",1,1,"5,6",12,1981-01-17,"false"
3,3,3,2,,"1,3,4,5",2,3,3,6,8,3,7,,156,100,"5,4",2,"1,2",2,"5,8",3,"1,4,6","3,4,5",13,1977-07-08,"true"
1,4,2,2,1,"2,3",2,4,3,6,8,5,8,"C",163,100,"5,3",2,"6,2",1,5,3,"1,6,10",3,7,1990-02-20,"false"
2,4,3,1,,4,5,5,1,5,5,4,3,"DD","167.64","79.9","1,5,3",3,"5,4",1,,1,6,5,14,1976-06-05,"true"
3,1,3,1,,"3,4",2,5,3,6,3,3,5,"F",168,65,"3,4",2,1,2,1,3,6,5,14,1968-06-03,"true"
1,1,3,1,,"3,2",1,5,2,7,8,4,6,"D","170.18","114.41","2,3",3,4,1,"8,2",3,6,,4,1993-07-06,"false"
4,4,1,2,1,3,5,3,6,7,7,4,5,"B",168,73,"3,1",3,"2,3",1,,3,1,4,5,1972-10-02,"false"
2,1,3,2,,,2,1,5,3,2,2,3,"C",160,55,"5,4,2",3,"3,2",1,7,2,1,5,2,1967-05-27,"true"
2,1,2,2,,"2,5,4",1,2,5,3,4,3,4,"C",168,73,"4,2",3,"5,6",2,"6,7,8,9",,,,4,1990-12-04,"false"
2,3,3,2,"2,3,4",,2,1,5,8,7,5,8,"E","167.64","96.7","4,3",3,"1,4",1,7,2,"4,6,1,10",1,4,1993-09-29,"false"
1,1,1,2,2,,4,3,6,2,2,3,3,"C",168,59,"5,4",4,3,1,"1,2,3,4,5,6,7,8,9",,,,1,1987-07-25,"true"
3,3,3,3,,,6,1,4,4,3,3,5,"D",145,60,"2,5,1",1,1,1,,3,4,"2,4,5,6",3,2000-07-03,"false"
2,1,3,1,"3,5",2,4,4,2,2,3,6,4,"B",166,65,"4,3",2,"5,6",1,"7,8",1,"10,6",,3,1989-09-29,"false"
1,3,1,1,"1,3,4",,5,3,2,3,4,2,4,"B",157,72,"4,5",3,"5,6",3,"7,8,9",,,,4,1996-05-12,"false"
2,1,1,3,"1,4",,5,4,2,4,5,4,3,"B",159,70,"2,5,4",3,"5,6",1,,3,"1,6",3,14,1984-05-17,"true"
2,1,3,1,4,2,6,3,2,5,5,3,3,,157,60,"5,1",4,"1,4",2,"2,7,9",,,,4,,"true"
2,3,1,1,"3,4",,5,5,3,7,7,5,4,"E",173,103,"4,1",1,2,1,8,"1,2","4,6,1,10",5,14,1995-03-15,"false"
1,3,3,2,"1,5","2,4",1,5,6,2,2,0,3,"C",160,58,"3,4,1",3,"2,5",1,"7,6",2,1,,14,1969-09-05,"true"
1,3,2,1,,3,5,5,3,4,4,5,3,,163,71,"1,5,2",4,"1,3",1,"1,7,8",1,"10,1",5,2,1985-01-14,"true"
2,3,2,1,,,4,4,1,2,2,4,4,"B",168,59,"5,4",3,"4,1",1,"7,8,9,6","1,2","4,6,1,10","5,3",4,1977-06-21,"true"
1,2,3,2,1,2,2,4,6,7,7,5,6,"D","167.64","122.58","3,4,2",2,1,1,"1,5",3,6,"1,2,3",4,1981-01-26,"true"
2,1,3,3,2,,2,3,6,6,6,4,7,"C",165,95,"5,1",1,"1,5",1,"2,7,4",3,1,"1,6",4,1989-03-01,"true"
2,1,1,1,"1,3,4",2,5,1,5,3,3,1,5,"C",158,65,"1,5,3",2,5,1,"1,5",2,1,4,14,1998-11-25,"false"
1,1,2,2,,,5,3,5,6,6,5,4,"A",168,77,"4,3",2,2,1,8,2,1,5,14,1982-11-11,"true"
2,4,1,3,1,,5,3,2,2,2,2,3,,158,50,"1,5",2,2,1,2,2,1,5,12,,"true"
3,4,1,1,"1,4",,5,3,5,2,3,2,3,"C",150,48,4,1,5,1,"8,6",3,1,5,13,1977-10-05,"true"
1,4,1,2,1,"2,3,4,5",1,3,2,4,6,4,4,"B",170,69,5,4,"1,5",1,8,3,1,6,5,1973-07-30,"true"
2,4,3,1,1,"3,4",2,5,2,8,7,4,6,"F","165.1","92.16","1,5,4",2,5,1,8,"2,1","6,1","1,2,4,3",14,1970-02-14,"true"
2,1,3,2,,"2,5",2,5,5,7,8,4,5,,"193.04","95.34","1,5",4,"5,6",2,,3,1,,7,1971-09-09,"false"
2,1,3,1,,4,2,1,3,5,6,5,5,"B",167,84,"3,5,4",3,,1,,2,1,5,14,1986-09-18,"true"
2,3,3,3,1,3,2,5,6,8,8,6,6,"D",163,104,"1,5",1,,1,7,3,"1,10",5,6,1973-01-09,"true"
1,4,3,2,,"4,5",6,5,2,7,7,3,6,"F","157.48","85.81","2,4",2,1,2,"1,7,8,9",,,,6,1972-03-24,"true"
2,1,2,1,"1,2,3",,4,3,6,3,4,4,4,"C",163,65,"3,4",3,"6,5",1,"2,8,9",,,,14,1994-09-15,"false"
1,1,3,2,,,2,1,5,7,8,3,6,"D","157.48","95.34","1,5,3",5,"1,6",1,"8,7",1,10,5,6,1988-06-07,"true"
1,1,3,2,4,2,5,1,2,6,6,3,4,"B","154.94","88.98","3,5,1",1,5,1,"6,7,8",2,3,"5,6",4,1971-08-03,"false"
2,1,3,1,,"2,3",2,4,2,7,7,1,7,"E",158,84,"3,1",4,5,1,"2,8",,"6,1,10",6,14,1978-06-13,"false"
4,2,1,1,4,2,5,3,6,3,4,5,4,"D",168,70,"4,3",3,"3,2",1,8,"1,2,3","6,1,10,4","3,5",4,1996-05-31,"false"
2,1,2,2,5,4,4,4,3,2,2,3,3,"B",160,50,"5,4",3,5,3,"8,9,7,6",,,,5,1976-11-30,"true"
3,3,1,1,"3,5",,1,1,3,2,3,5,2,"B",169,60,"3,2",3,"4,2",2,"6,7",3,6,6,2,1973-12-25,"true"
1,3,2,3,,"1,2,3,4,5",1,1,5,7,8,6,5,"A",170,115,5,5,6,1,,"1,2","1,6,10",,13,1978-09-29,"true"
1,1,1,1,,,5,5,3,3,3,1,5,"D","157.48","60.84","1,5,3",3,3,1,,2,"1,10,4","1,2,3,4",2,1991-01-24,"true"
1,2,1,2,,"1,2,3,5,4",2,3,5,4,5,4,5,"C",166,78,"2,4",4,"4,6",1,"2,6,5,7,9,8",,,,10,2001-10-05,"false"
3,1,3,3,,4,2,4,3,4,5,4,2,"B",165,73,"2,4,3",2,2,1,,3,"6,10,1",5,2,1993-01-07,"false"
1,2,1,1,3,,4,3,4,1,1,1,2,"A","152.4","40.86","4,3,2",2,"2,1",1,"5,3",3,"1,4",6,12,1991-07-10,"false"
2,1,3,1,,"3,4",5,3,2,5,6,5,5,"D",169,72,"4,2",5,"3,4",1,,3,"1,10",4,4,1975-10-24,"true"
2,4,1,1,"1,5","2,3,4",1,1,2,5,5,5,5,"C",175,70,5,2,"5,6",1,2,3,10,5,14,1976-10-11,"true"
4,4,1,1,"1,4,5",2,5,3,3,3,3,4,6,"C",166,65,3,5,"6,5",1,,2,6,,12,1996-02-07,"true"
2,3,1,2,1,"2,5",5,4,3,3,4,4,3,"A",159,58,"3,1",2,"4,5",1,"1,5,8,9",,,,4,1976-05-22,"true"
1,2,3,1,,"1,3,4",2,5,5,5,6,7,4,"DD","172.72","78.54","5,2",1,"3,1",1,"5,7,8",1,1,5,3,1983-10-14,"true"
2,1,1,2,4,"2,3,5",1,3,5,5,7,6,5,"C",175,96,"2,3,4",3,"6,5",1,5,2,"1,6,10",,2,1996-01-29,"false"
2,3,2,1,"1,3",,4,4,3,3,4,6,3,"B",165,67,"4,3",4,"4,2",1,7,2,"1,4",3,4,1988-01-21,"false"
1,4,3,1,"1,3,4",,3,1,3,2,2,3,2,"B",166,59,"5,4,1",3,"1,4",1,"7,9",,,,7,1983-03-17,"true"
1,1,3,2,,"1,2,3,5",1,3,2,3,4,3,3,,162,64,"4,2",3,"1,5",1,"9,8,7,5,1",,,,13,1982-07-13,"true"
1,3,2,1,2,,3,3,5,3,3,5,3,"A",178,62,"4,3,1",3,5,2,,1,"4,1","2,5",5,1975-08-17,"false"
2,1,2,1,"3,5",,3,5,2,4,3,3,4,"DD","160.02","60.38","1,5,3",2,"5,6",1,"2,5,8","1,3",6,4,9,1985-08-22,"true"
4,1,3,1,,"2,4,5",2,4,6,3,3,2,5,"D",165,68,"2,4",1,"5,6",1,,3,10,4,14,1996-10-11,"true"
1,4,3,2,,"2,3,4",2,1,3,8,8,5,7,"F","167.64","97.16","3,4,2",2,3,1,,"1,2",1,"1,3",14,1961-06-20,"false"
2,4,1,1,,,5,5,3,2,2,3,4,"C",158,55,"3,5",3,"6,5",1,,"3,2,4,1","1,4,6",,14,1996-07-26,"true"
4,1,1,1,"1,3,4,5",,5,1,3,3,4,2,4,"B",166,62,"1,4",3,"2,6",1,,3,4,1,2,1985-12-02,"false"
2,1,3,2,,"2,3,4,5",2,3,6,7,7,5,5,"C",168,92,"5,1",2,5,1,5,3,1,1,4,1973-06-05,"true"
1,3,3,3,,"1,2,3,4,5",2,1,1,6,6,5,5,"D",160,84,"5,1",3,"5,6",3,"3,5,6,7,8",3,"4,3","1,4,5",4,1961-11-13,"false"
2,2,3,3,1,4,5,3,6,3,4,3,4,"B",159,65,"5,1",5,"3,5",1,"8,7","2,3","10,6","2,1,4",3,1993-04-20,"false"
2,1,1,2,"4,3",,3,3,3,1,1,2,4,"B",160,50,"1,5",3,"1,6",1,5,,1,5,14,1998-02-25,"false"
1,3,2,1,"1,5","3,4",6,5,2,4,4,2,3,"B",166,69,"5,1",3,"5,6",1,"7,8",1,1,"5,6",9,1982-06-24,"true"
1,3,3,2,5,"2,3,4",5,3,6,6,5,4,4,"D",173,76,"5,1,3",5,"3,2",2,,3,4,,5,1963-12-28,"false"
2,1,1,1,3,,4,1,3,1,2,2,3,"B",160,50,3,4,"5,6",1,"2,6,8,7",,4,4,12,1984-07-01,"true"
1,2,3,1,,"4,2,5",2,5,5,6,6,3,3,"DD","162.56",79,4,2,1,1,"5,7","2,1",1,"2,3,5",4,1981-11-19,"true"
1,1,1,1,"2,3",,1,1,3,3,3,4,4,"B",162,55,5,5,6,1,5,3,"6,1,10,4",5,4,1992-04-23,"false"
2,1,1,1,"1,3,4",,1,4,4,2,2,2,3,"B",153,54,5,2,"6,3",1,"8,3",4,4,3,14,1995-06-07,"false"
1,3,3,1,,2,2,3,3,8,7,5,6,"F",162,85,"3,5,1",3,"1,5",1,"2,5",3,1,4,6,1975-07-23,"true"
2,1,1,1,5,3,2,3,2,2,3,2,4,"C",160,60,"4,5,1",3,5,1,"5,8","3,2",1,5,3,1992-08-12,"false"
2,3,3,2,"1,5","3,4",2,2,2,4,4,2,2,"A",160,70,3,4,"4,5",3,5,"1,2",4,"5,3",5,1980-06-05,"true"
1,2,1,2,,,2,5,1,4,4,3,4,"B","167.64","69.92","4,3",1,2,1,"7,8",3,"4,6,1","1,3",4,1970-02-14,"true"
1,1,3,3,,"3,4,5",2,5,2,5,6,2,3,"FF","154.94","72.64","3,5",4,"4,1",,"1,5,8",1,"1,6","5,3",3,1969-01-18,"false"
1,1,2,1,,,2,1,5,2,3,2,2,"DD","160.02",0,"1,5",4,"5,6",1,8,"1,2","1,6","3,2,1,5",2,1979-02-06,"true"
4,4,3,2,"2,5","1,4",2,3,2,4,4,3,5,"D",160,62,"4,3,2",3,"5,3",1,,3,1,4,5,1982-01-17,"true"
2,4,1,1,3,2,1,3,3,4,5,6,4,"C",176,70,"5,2",5,"1,5",1,,"1,2,3","6,1,10",,14,1970-05-17,"true"
1,4,1,1,4,,5,4,3,1,1,3,2,"B",163,52,"5,4",3,"3,4",2,"6,8,7",3,4,,5,1991-05-12,"false"
2,4,2,1,,4,4,5,2,4,3,3,4,"C","170.18","63.56","2,5,3",2,"5,1",1,"3,8,9,6",,,,3,1971-04-10,"true"
1,2,1,1,"3,4",,5,3,5,2,3,4,3,"E",160,58,"3,2",1,"5,6",1,,2,"1,6",,3,1991-01-29,"true"
3,1,3,,1,"3,5",5,5,2,6,7,6,5,"B",168,89,3,5,"3,6",1,"1,5,7",3,1,,6,1976-03-18,"true"
1,1,1,1,"3,4,5",,4,4,3,2,2,4,2,"C",168,56,"5,2",2,"1,3",2,"7,9",,,,2,1991-05-07,"true"
2,3,1,1,,,5,3,6,3,3,5,2,"B",169,56,"5,1,3",2,"3,2",2,"7,9",,,,2,1981-10-05,"true"
2,3,3,1,3,,1,3,6,2,2,3,2,"B",152,60,"2,5,4",4,5,1,,1,"4,6,1",,6,1996-11-05,"true"
1,2,3,2,,"4,5",2,3,3,3,3,3,4,"B","157.48","65.83","5,3",2,"1,5",1,7,2,10,"1,2,4,6",5,1983-03-25,"true"
3,4,1,2,4,,3,4,2,3,4,6,3,"B",172,64,"4,2",3,"5,3",1,"1,5,7,9",,,,4,1985-07-05,"true"
4,3,3,1,,,2,2,6,7,6,4,9,"D",155,86,"3,2",2,"4,5",1,"7,8,9",,,,7,1985-06-30,"true"
2,4,1,1,"2,3",,4,4,5,1,2,3,1,"A",165,48,"1,5",5,5,1,1,3,"1,4,6",2,14,1981-08-22,"false"
2,4,3,2,,"4,3",6,4,6,8,8,5,6,"F",164,90,"4,5",3,5,,"7,8",1,1,"3,5",4,1981-06-24,"true"
1,2,1,1,"3,5",,5,4,2,4,4,4,2,"FF","167.64","65.83","2,5,4",1,2,1,8,2,1,6,13,1979-06-22,"true"
2,3,3,1,"3,4,5,2,1",,1,4,3,5,5,5,3,"C",170,70,"5,1,3",2,"2,4",1,"8,7","3,2",1,,5,1995-08-15,"false"
2,1,2,1,,,6,2,3,4,3,2,3,"B",158,60,"3,1",4,"1,4",1,,3,1,5,14,1967-04-08,"true"
2,3,2,2,"3,5","2,4",3,3,3,4,4,3,3,,160,69,"2,5,3",2,5,1,"9,7",,,,,,
2,4,3,1,,,3,3,6,3,3,3,4,"B",159,70,"1,5",5,"1,6",1,"8,7,6",3,"6,1,10",5,7,1995-04-10,"true"
1,2,3,2,,4,4,3,3,6,5,3,6,"D",162,78,"5,3",3,"3,5",1,"7,6",3,"1,6",5,4,1985-08-22,"true"
4,1,3,1,,"2,5",2,5,3,6,7,5,4,"C",165,80,"3,5,1",3,"3,4",1,"7,9",,,,14,1985-09-27,"true"
1,1,3,1,,,2,3,5,8,6,2,7,"E","154.94","88.08","1,5",2,1,1,,1,6,6,7,1969-10-08,"true"
2,4,1,2,"3,4",2,5,4,3,4,4,4,4,"C",166,72,"3,5,1",2,"5,2",1,,3,6,"4,6",14,1989-02-27,"true"
1,1,3,1,"1,3","4,5",4,3,1,7,6,6,5,"F",172,90,"5,1",3,5,1,"1,7,8",1,"4,10","3,5",3,1975-05-13,"true"
1,1,,,3,4,2,5,3,8,8,7,7,"D",166,97,5,,"5,1",,,"1,4","1,10",5,6,1995-11-18,"true"
4,4,1,2,3,,5,1,1,3,3,5,3,"B",172,65,5,3,3,1,7,2,6,5,14,1979-05-28,"true"
1,1,1,1,"2,4,5","1,3",4,3,4,8,8,5,6,"D",168,120,"5,3",2,"1,4",1,"2,5",1,6,"5,6,3",4,1995-10-18,"false"
1,3,1,1,"1,3","2,4",6,1,5,8,8,6,8,"DD","165.1","123.03","5,3",4,"1,2",1,"3,7,8","2,1",1,1,3,1973-10-23,"true"
1,2,1,1,"1,2,3,5",,4,3,6,2,2,2,3,"A",168,55,"5,4,1",1,"6,2",2,"8,7",1,"6,1","2,5,3",4,1989-11-18,"false"
4,4,3,1,1,,2,1,3,8,8,6,6,"F",166,94,"1,5,2",5,3,1,"5,2",3,"1,4,6,10","1,2,4,5,6",14,1972-05-03,"true"
2,1,3,2,,"2,3,4",2,3,6,7,8,4,9,"E",164,93,"3,5,2",2,5,1,9,,,,9,1959-11-14,"false"
1,1,1,1,"1,3",4,2,3,6,4,3,3,6,"C",159,67,"4,5",5,1,1,"5,8","3,4,2","1,10",4,12,1974-09-17,"true"
1,1,3,3,1,"2,3,4,5",2,1,2,8,8,6,6,"C",175,90,"3,5,2",3,"1,2",3,"2,5,1",3,"4,1","2,3",13,1975-03-19,"true"
1,1,1,1,"2,3,4,5",,5,3,6,1,2,3,2,"B",160,48,"4,3,1",3,"3,5",1,,3,1,4,4,1989-11-09,"true"
1,2,2,1,"3,5",,4,3,3,4,3,4,4,"A",179,63,"4,3",3,"1,2",2,8,"1,2","4,6,1",5,11,1983-06-30,"true"
1,1,3,2,,"2,3",2,4,6,7,6,6,5,"C","165.1","88.98","3,2",4,"1,3",1,2,"3,4","4,1",,2,1983-04-17,"true"
1,3,1,2,"1,3,4",,4,5,3,2,3,3,3,"B",165,58,"2,4,3",2,"1,2",1,"7,9,8",,,,14,1985-01-10,"true"
1,1,2,1,"3,5","1,2,4",6,1,5,3,2,5,4,"B",172,63,"5,3",4,"5,1",1,"1,5,9,8",,,,12,1988-01-21,"true"
1,1,2,1,3,,4,5,3,4,3,3,4,"B",170,77,"1,4",5,"1,5",3,,1,"4,6,1","1,2,3,6",2,1988-03-03,"false"
2,1,3,2,,"1,5",6,2,1,7,6,3,5,"C",161,86,"4,1",2,"2,4",2,"1,5",1,"6,1",5,4,1969-10-07,"true"
1,1,1,1,,,2,3,6,3,4,5,5,"C",174,75,3,2,"4,1",1,"7,8",3,6,,2,1990-02-05,"true"
1,1,3,2,,"2,4,5",3,1,2,3,4,2,5,"D",156,61,"4,3",2,"1,4",1,"2,5,6",3,"1,10,4","1,4",3,1972-07-18,"false"
1,4,3,2,,"1,2,4,5",2,3,6,4,4,5,3,"C","162.56","72.64","2,4",4,"1,5",1,,"2,1","1,6",5,6,1989-02-06,"true"
1,3,2,2,,"4,3",6,2,5,3,3,3,5,"E",165,78,"3,5",2,"1,5",1,5,2,"1,10",6,4,1981-12-01,"true"
2,1,1,1,3,4,4,1,2,3,3,4,4,"B",170,62,"5,1",2,5,1,"1,5",1,10,5,3,1991-08-09,"true"
2,2,1,1,,"2,5",5,1,2,5,6,4,4,"C","157.48","77.18","1,5,3",1,"6,4",1,2,"1,2","4,1","2,5",14,1981-08-17,"false"
3,1,2,2,3,1,2,1,6,5,4,5,6,"E",172,76,"1,5",3,5,1,"9,8,7",,,,2,1993-05-04,"false"
1,1,1,1,"4,3",,5,4,3,2,2,2,3,"B","162.56","null",3,3,"1,6",1,"5,2",1,1,6,14,1984-01-01,"true"
2,3,3,1,"1,3,5",4,5,1,3,3,3,2,5,"B",158,57,"5,3",5,"5,4",1,,4,"4,3",,14,1991-07-03,"false"
3,1,3,1,1,"3,4,5",2,5,2,5,6,3,4,"C",168,70,"4,5,3",3,"3,4",1,5,2,1,5,,,
2,1,2,2,"3,4",,5,6,2,7,8,4,3,"FF","160.02",,"1,4",3,"6,5",1,"7,8","1,2",1,"5,3",2,1993-09-18,"false"
2,2,3,3,1,"2,3,5",2,3,2,4,5,1,5,"C",159,72,"1,5",5,5,1,"5,2",3,"1,10,6",,6,1966-09-11,"true"
3,4,3,2,,4,6,5,5,6,5,3,4,"DD","152.4","84.9",2,2,"1,2",1,5,3,1,3,,,
1,3,3,1,,"1,2,3,4,5",6,5,3,7,7,3,6,"F",157,72,"4,1",3,"4,2",1,5,3,"1,6",4,4,1973-06-16,"true"
1,1,2,1,,,2,4,5,4,5,3,5,"DD","152.4","76.27",4,1,"5,6",1,5,2,"1,10","4,3,1,2",12,1992-11-15,"true"
2,4,1,2,1,4,6,3,4,3,3,2,5,"C",162,59,"3,4,2",3,"6,5",1,"3,7","1,2","4,6,3","2,1",11,1984-08-23,"false"
1,1,3,1,,,1,3,2,2,2,3,2,"B",157,56,5,1,"5,6",1,8,"2,3,1","1,6,10","3,6",12,1979-04-17,"true"
1,1,3,1,,"2,4",2,5,2,6,6,3,6,"DD","157.48","84.44","2,5,3",2,1,1,"1,5",3,1,"4,5,1",14,1967-09-28,"true"
4,3,1,2,4,,3,5,2,4,4,1,4,"DD","152.4","63.56","5,4,3",4,"6,2",1,4,3,6,"1,4,6",3,1970-02-01,"true"
2,1,1,1,"2,4",,2,2,4,4,4,4,4,"DD","154.94","66.74","3,5",5,"6,5",1,,"2,3","1,10,6,3","2,3,5,1",2,1974-06-07,"true"
2,1,2,3,1,4,6,5,4,4,5,4,4,"B",170,80,3,3,"5,4",2,"5,7,8,9",,,,14,1981-05-07,"true"
1,3,1,1,,"3,4",3,1,3,6,5,4,5,"E","167.64","89.44","2,4",5,6,1,"7,8",3,1,"4,1",13,1962-06-17,"true"
3,1,3,1,"1,3,5",4,2,1,1,4,4,3,5,"D",163,65,5,3,4,1,,1,"6,1,10",5,3,1975-02-14,"true"
1,1,2,1,5,4,1,4,3,4,4,6,4,"B",181,77,"5,1",2,5,1,"1,9,8,7,4",,,,3,1987-10-08,"true"
4,4,1,2,,,5,3,5,3,3,4,4,"B",169,55,5,5,6,1,"7,8","2,1,3","1,6",,14,1985-10-31,"true"
1,2,3,1,"3,5","2,4",2,4,4,8,6,7,7,"D","177.8","108.05","4,1",2,"4,5",1,"9,7,8",,,,4,1962-09-18,"false"
3,2,3,3,5,"2,3,4",2,5,2,7,8,4,5,"C","167.64","98.52","2,5,3",3,1,1,"5,2",2,1,"5,4",14,1962-05-29,"true"
2,4,1,3,"1,4","3,5",1,4,3,2,3,3,3,"C",160,61,"5,2,3",2,"6,5",2,,2,"6,1",5,3,1983-11-15,"true"
4,3,1,2,,"2,4",2,4,3,3,3,0,4,"D",157,61,5,3,"5,2",1,,4,"4,1","1,4",13,1970-06-25,"true"
3,1,3,1,"3,5",4,4,4,5,5,5,6,6,"C",187,90,"3,4",3,"6,4",2,,1,"4,6,1",5,6,1976-05-18,"true"
1,3,1,1,4,,5,5,2,4,4,4,3,"C","165.1",74,"4,3,2",4,"1,2",1,6,3,10,"6,3",4,1986-08-07,"true"
1,2,2,1,,"2,3",6,1,1,6,6,6,6,"B",172,85,5,4,"4,6",1,,2,"1,10",5,14,1978-11-15,"true"
2,2,2,3,1,"2,4",2,4,5,8,8,5,6,"D",165,110,"4,5,2",3,"5,2",2,"3,7,8,9",,,,5,1973-10-19,"true"
1,4,3,1,"4,5","2,3",5,6,2,4,4,5,4,"C",174,69,"3,4,2",4,"2,5",2,7,"1,2,3","4,1,10",2,3,1967-06-16,"true"
1,1,3,2,4,2,3,2,2,3,3,3,3,"C",163,63,"3,5,2",3,"5,2",1,,2,"4,1","5,3",12,1976-11-17,"true"
1,1,3,2,,"3,5",5,6,2,5,6,4,4,"DD","160.02",79,"1,5,4",3,"1,5",1,,3,"6,1",5,14,1975-09-25,"true"
1,4,3,1,,"3,4",6,4,1,4,4,3,5,"B",173,73,"3,4,1",3,"4,2",1,"1,5",1,6,5,5,1969-10-13,"true"
1,2,3,1,1,"2,4",5,5,4,8,8,2,6,"DD","152.4","91.25","1,5,3",5,"1,5",1,5,2,"1,10,3,4",4,14,1989-08-31,"true"
1,3,3,3,,4,2,5,3,6,6,4,5,"D","154.94","76.73","4,2",4,"3,2",1,7,3,"6,1","1,4",4,1983-02-07,"true"
